id,label,length
b82fa6f6043cde82dce0eb22a2d95c174ba4adb4,1,74
b64a3a015bd232bf256e6b50fde91fe4e01b3a55,1,72
7323ba6e2fc96e54733a8f2966ad6fd4dc03390a,1,72
4db2f84ad34193ef234e02dbfee949d85bdedbbf,1,355
8be065dc786cd986202fb392e3d41a5e861969ce,1,173
1ad31743ef8cd662d75c64cefee863d4ed0a2ccf,1,113
b174a4116b7b650653c4f2b5e1fc82f24e8098b6,1,295
1c6a212ede270d11e42a9dd27f61d71d60302be9,1,192
fb4748005ebcd2ddc64f04775f6c43db028caeaf,1,74
85b03f54f3563d93c8fba8e0c454c81999ddd1b7,1,114
1bc3a2040f5af5f7b5ceb730435b5a348704bc4e,1,118
2253bef58c24d661decc100a367385b10fed341e,1,241
85de5bc2a4c0fc5547564a17444fd429839b50dd,1,83
f1cb6141b6ba5854bb9a61e822c14ba8523f8db6,1,91
d461dfc2b9b006dc4d9131bc8e493cc56fe603b4,1,82
be295b8e5785f01885ec580ba3a79fe6f8fa738c,1,109
925f4c1d446519a03453f9e6d72cce07256d6d0b,1,115
a5296267e32d69d52f4ce10f84110fa85c48c342,1,190
b99e0a21a7db35c1581aaad4a19d3bc28f726d2b,1,216
ba3e4604c1554a5cb14179b539eb26b42eb54c6f,1,155
dbda7de1fda0dea72f388df9e44512a7911adee6,1,290
6e65c8dc8a18fa973aa200be41646b20324c9d03,1,178
b110ab9a6e9e906bf782b677a1eac49a75956393,1,118
318a573293bfc9cf8e06bfa6647c44702ac72433,1,207
4e15d7fa049c01f835205e1e45f6c683fb800da0,1,190
60ce30676bcd186548d28f1ab928e70c5048702c,1,52
af0b1d59ad4a8148a879289ed9f061f63458a5dc,1,103
16bc279715c0416006d9104c228b3dabc31ee372,1,165
f70be7a7ae7f3d8e4f2ee9e201ec2b0cc91d06c9,1,96
e84b8e2ac37f0c7f8e1e3b77a231651b95043e76,1,115
6caa036b1f66f15f8e19c39ef7348adb22e6eaa4,1,144
ad65066a3f1c205217f5f98f2ba6ebafe8a5f9b1,1,205
96c64de86f2b9138a89d0eb29153a61d32337fed,1,95
a042aadf08e3a7da2f46a16ad34871157ff96264,1,242
972c8116b7050ae2f40764586d85b4404351f3b4,1,163
67630fd188aeba6819cf9b4f7ace63386e56e7d9,1,232
b70e63a7c4f753197f60c7c0e322298944192468,1,132
089428a9542afe05747c827961d72417ba1d263a,1,220
c3143386be2850dfb056367697331ae5dc857284,1,85
473102b5cb736801e3017829215fb8f0947b5cd7,1,113
2afbd58ca4417d29191e0f0f428c83b08cf0179c,1,102
2506ade5ec3ea74afea0601e12f121d2cc8021c9,1,115
fab93c0577c26213e2c26cb9627c90271504523f,1,108
8ec6a588ff268af928352b0ada1a60081ec119cb,1,70
0ccab3169bd41371a013cc0f934a818ab36a014a,1,113
e3455ea194cb756df68906ba1bd0ee99ff090001,1,54
65633cef644faf3f7f7df3814eb566213e49be0d,1,119
df2d066a69d70b9f5a46df6c49784fd37d3d6a68,1,138
9d619130f306646d4cc7eecdad267fe9dde5c822,1,131
becdd1851b1fdaa618605c6407292ff25bc9dc77,1,333
61e81f34d976da6874a787a998b3f27cb2b6eb60,1,224
d5172b122fb65a0ffe1bd3ebd7db59f704420b83,1,179
b1455799a085c130c55a3272131d0cc888347ed7,1,289
5ebc7b1812533d6408ffd82d52beea6f79670c03,1,73
985bcb89bc209e82468efc3800722625003c14b2,1,230
cd025a36a77d50e9b88eda26f82cecf1e00865e3,1,358
529a38004d7d90a961ade397259b7f6a4d93c2a6,1,430
a3be3b55e53263e3978f1a2b63233a2cce618932,1,141
